external_gene_name,NIH_accession,NIH_description,GO terms
ppfibp2a,ccdc141,coiled-coil domain containing 141,
ENOX1,enox1,ecto-NOX disulfide-thiol exchanger 1,nucleic acid binding
chd4a,chd4b,chromodomain helicase DNA binding protein 4b,metal ion binding
lgals8a,lgals8a,galectin 8a,
MTMR9,mtmr9,myotubularin related protein 9,
RAD51D,rad51d,RAD51 paralog D,
lcp2a,,,
foxi3a,foxi3a,forkhead box I3a,DNA binding
NIPAL4,nipal4,NIPA like domain containing 4,
rbms2b,,,
TMEM132E,tmem132e,transmembrane protein 132E,
NHP2,nhp2,NHP2 ribonucleoprotein homolog (yeast),nucleus
INS,ins,preproinsulin,extracellular region
APBB3,apbb3,"amyloid beta (A4) precursor protein-binding, family B, member 3",amyloid-beta binding
SRA1,sra1,steroid receptor RNA activator 1,
ponzr2,LOC111565225,cornifelin homolog B-like,
,LOC111565220,hepatitis A virus cellular receptor 1 homolog,membrane
DTX2,dtx2,"deltex 2, E3 ubiquitin ligase",
PINX1,pinx1,PIN2 (TERF1) interacting telomerase inhibitor 1,
ST6GAL1,st6gal1,"ST6 beta-galactosamide alpha-2,6-sialyltranferase 1",
cryba1l2,LOC111569944,adenosine 5'-monophosphoramidase HINT3-like,
chrna2b,chrna2b,"cholinergic receptor, nicotinic, alpha 2b (neuronal)",
GTF2IRD1,gtf2ird1,GTF2I repeat domain containing 1,
ptk2bb,ptk2bb,"protein tyrosine kinase 2 beta, b",
FLVCR2,flvcr2b,FLVCR choline and putative heme transporter 2b,
TGFB3,LOC111568923,transforming growth factor beta-3 proprotein-like,extracellular region
RRM2,LOC111587230,ribonucleoside-diphosphate reductase subunit M2,
CLIP2,clip2,CAP-GLY domain containing linker protein 2,
TFG,tfg,trafficking from ER to golgi regulator,
dnajc3a,dnajc3a,"DnaJ (Hsp40) homolog, subfamily C, member 3a",response to unfolded protein
ecm1b,LOC111562992,extracellular matrix protein 1-like,signal transduction
mpp6a,pals2a,"protein associated with LIN7 2, MAGUK p55 family member a",
kcnq2a,kcnq2a,"potassium voltage-gated channel, KQT-like subfamily, member 2a",
ARHGEF19,arhgef19,Rho guanine nucleotide exchange factor (GEF) 19,
si:dkey-78k11.9,LOC111562433,P2Y purinoceptor 1,
CCN5,ccn5,cellular communication network factor 5,
,LOC129349565,zinc finger protein 726-like,
ugt5e1,LOC111562427,UDP-glucuronosyltransferase 2A1-like,
SALL4,sall4,spalt-like transcription factor 4,metal ion binding
ZFP64,zfp64,zinc finger protein 64 homolog (mouse),metal ion binding
TSHZ2,LOC111566230,teashirt homolog 2,embryonic cranial skeleton morphogenesis
,LOC111564734,solute carrier family 25 member 45,
MAD2L2,mad2l2,mitotic arrest deficient 2 like 2,
tafa5l,tafa5l,"TAFA chemokine like family member 5, like",
UBIAD1,ubiad1,UbiA prenyltransferase domain containing 1,
,LOC111562742,lysophosphatidic acid receptor 6,
pogzb,pogzb,pogo transposable element derived with ZNF domain b,
INTS11,ints11,integrator complex subunit 11,
si:dkey-23o4.6,si:dkey-23o4.6,retinol dehydrogenase 12,oxidoreductase activity
irx2a,irx2a,iroquois homeobox 2a,
plecb,plecb,plectin b,actin binding
si:ch211-220i18.4,si:ch211-220i18.4,SRSF protein kinase 3,nucleotide binding
PFKFB1,pfkfb1,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1",
lacc1,lacc1,laccase (multicopper oxidoreductase) domain containing 1,metal ion binding
TAAR1,,,
MRPS2,mrps2,mitochondrial ribosomal protein S2,
PPP1R26,,,
DOLK,dolk,dolichol kinase,
PHYHD1,,,
,ccl27a,chemokine (C-C motif) ligand 27a,
LHFPL2,LOC111564702,LHFPL tetraspan subfamily member 2a protein-like,
SH2B3,sh2b3,SH2B adaptor protein 3,
GLDC,gldc,glycine dehydrogenase (decarboxylating),
GARNL3,garnl3,GTPase activating Rap/RanGAP domain like 3,GTPase activator activity
slc17a9b,slc17a9b,solute carrier family 17 member 9b,
syn2a,syn2a,synapsin IIa,
UGGT2,,,
ognb,ognb,"osteoglycin, paralog b",
SMIM4,LOC111588348,ubiquinol-cytochrome-c reductase complex assembly factor 5,membrane
kctd6b,kctd6b,potassium channel tetramerization domain containing 6b,
abhd6b,abhd6b,"abhydrolase domain containing 6, acylglycerol lipase b",membrane
sqlea,sqlea,squalene epoxidase a,oxidoreductase activity
slmapb,slmapb,sarcolemma associated protein b,
cers5,,,
lrrc6,dnaaf11,dynein axonemal assembly factor 11,
pias1b,pias1b,"protein inhibitor of activated STAT, 1b",
,si:ch73-233m11.2,"NACHT, LRR and PYD domains-containing protein 12",
si:dkey-222n6.2,si:dkey-222n6.2,"keratin, type II cytoskeletal 8",
,LOC111588346,deoxyribonuclease-1-like,
,si:dkey-7l6.3,zinc finger protein 287,
FAM131A,LOC129349942,myoneurin-like,
slc27a2a,,,
pold3,pold3,"polymerase (DNA-directed), delta 3, accessory subunit",
malt3,malt3,MALT paracaspase 3,membrane
,alpk3a,alpha-kinase 3a,membrane
GTPBP4,,,
MTG2,mtg2,mitochondrial ribosome-associated GTPase 2,
SS18L1,LOC111588719,SS18L1 subunit of BAF chromatin remodeling complex,
dnajc11b,dnajc11a,"DnaJ (Hsp40) homolog, subfamily C, member 11a",
ankrd33ba,ankrd33ba,ankyrin repeat domain 33ba,
OPLAH,,,hydrolase activity
RPS6KL1,rps6kl1,ribosomal protein S6 kinase-like 1,ATP binding
DNAAF2,,,
INF2,inf2,inverted formin 2,actin binding
slc28a1,slc28a1,solute carrier family 28 member 1,membrane
ADSS1,adss1,adenylosuccinate synthase 1,
ZNF592,znf592,zinc finger protein 592,metal ion binding
kti12,kti12,KTI12 chromatin associated homolog,nucleotide binding
si:dkey-24l11.2,si:dkey-24l11.2,uncharacterized LOC111580173,metal ion binding
ch25hl1.2,ch25hl1.2,"cholesterol 25-hydroxylase like 1, tandem duplicate 2",
NTN4,LOC111574662,netrin-4-like,
,mov10l1,Mov10 like RNA helicase 1,
gsdmeb,gsdmeb,gasdermin Eb,programmed cell death
NDUFV1,LOC111586460,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial-like",metal ion binding
TMEM138,tmem138,transmembrane protein 138,
TMEM258,tmem258,transmembrane protein 258,membrane
MYRF,myrf,myelin regulatory factor,membrane
gpx4a,,,
cbln2b,cbln2b,cerebellin 2b precursor,
RRS1,rrs1,ribosome biogenesis regulator 1 homolog,
FLT1,flt1,fms related receptor tyrosine kinase 1,
cacna2d4b,,,membrane
zgc:114181,cndp1,carnosine dipeptidase 1,hydrolase activity
BDNF,bdnf,brain-derived neurotrophic factor,
acvr2aa,acvr2aa,activin A receptor type 2Aa,
rbms1a,,,
USP8,usp8,ubiquitin specific peptidase 8,cysteine-type peptidase activity
STK32A,stk32a,serine/threonine kinase 32A,nucleotide binding
LRTM2,LOC111564045,leucine-rich repeat and transmembrane domain-containing protein 2-like,
SMC1B,smc1b,structural maintenance of chromosomes 1B,nucleus
KHDC4,khdc4,"KH domain containing 4, pre-mRNA splicing factor",
TMEM41B,tmem41b,transmembrane protein 41B,
uts2r3,uts2r3,urotensin-2 receptor 3,
wnt4b,wnt4b,"wingless-type MMTV integration site family, member 4b",
MLF2,mlf2,myeloid leukemia factor 2,cytoplasm
RBP5,rbp5,"retinol binding protein 1a, cellular",
,LOC111577068,NF-kappa-B inhibitor delta,
atp5md,,,membrane
,LOC111577064,FXYD domain-containing ion transport regulator 6-like,
C1R,LOC111586786,complement C1r-A subcomponent-like,
IPO7,ipo7,importin 7,
GATM,gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase),membrane
FBN1,fbn1,fibrillin 1,calcium ion binding
,LOC129349577,complement C1s subcomponent-like,
TNNI2,tnni2a.4,"troponin I type 2a (skeletal, fast), tandem duplicate 4",
DNAJC5,LOC111586784,tumor necrosis factor receptor superfamily member 5,
,LOC111576810,ceramide synthase 2-like,
TNNI2,LOC111567518,"troponin I, fast skeletal muscle-like",actin binding
TNNI2,LOC111567519,"troponin I, fast skeletal muscle-like",
celf3b,LOC111584525,CUGBP Elav-like family member 3,
tnni2a.2,LOC111567521,"troponin I, fast skeletal muscle-like",
tnni2a.1,LOC111567520,"troponin I, fast skeletal muscle-like",actin binding
SYT8,syt8,synaptotagmin VIII,membrane
ZNF335,LOC111583421,zinc finger protein 335,
dldh,dldh,dihydrolipoamide dehydrogenase,
MMP9,mmp9,matrix metallopeptidase 9,
hhatlb,hhatlb,"hedgehog acyltransferase like, b",
gars1,,,
DUT,dut,deoxyuridine triphosphatase,
SLC12A1,slc12a1,solute carrier family 12 member 1,
gars1,gars1,glycyl-tRNA synthetase 1,
ADAMTSL4,adamtsl4,ADAMTS-like 4,extracellular region
znf740b,,,
dgat1b,LOC111573142,diacylglycerol O-acyltransferase 1-like,
ZNF507,znf507,zinc finger protein 507,metal ion binding
exd3,exd3,exonuclease 3'-5' domain containing 3,
ntrk3b,ntrk3b,"neurotrophic tyrosine kinase, receptor, type 3b",membrane
nrarpb,nrarpa,NOTCH regulated ankyrin repeat protein a,
ccdc80l2,ccdc80l2,coiled-coil domain containing 80 like 2,
clic3,clic3,chloride intracellular channel 3,membrane
NNT,nnt,nicotinamide nucleotide transhydrogenase,
si:ch73-362m14.4,LOC111583665,actin-binding protein WASF3-like,
EOLA1,,,
ALG13,alg13,ALG13 UDP-N-acetylglucosaminyltransferase subunit,cysteine-type peptidase activity
adora1b,adora1b,adenosine A1 receptor b,
mipa,mipa,major intrinsic protein of lens fiber a,water transmembrane transporter activity
STAT6,stat6,"signal transducer and activator of transcription 6, interleukin-4 induced",DNA binding
AARS2,aars2,"alanyl-tRNA synthetase 2, mitochondrial (putative)",
POLR2E,polr2eb,"RNA polymerase II, I and III subunit E, b",
SCN8A,,,
arhgap45b,arhgap45b,Rho GTPase activating protein 45b,
pkma,pkma,pyruvate kinase M1/2a,
DHDH,dhdh.2,"dihydrodiol dehydrogenase, tandem duplicate 2",nucleotide binding
SLC6A2,,,
RAB3D,rab3da,"RAB3D, member RAS oncogene family, a",
tspan34,tspan34a,tetraspanin 34a,
dand5,dand5,"DAN domain family, member 5",extracellular region
NFIX,nfixa,nuclear factor I/Xa,regulation of DNA-templated transcription
zmp:0000001268,,,
SLC22A16,slc22a21,solute carrier family 22 member 21,
P4HA2,LOC111563190,prolyl 4-hydroxylase subunit alpha-2,iron ion binding
,LOC111563787,organic cation/carnitine transporter 2-like,
SLC22A5,LOC111563810,organic cation/carnitine transporter 2-like,membrane
slc34a1b,,,
SYNJ1,,,
LSM14B,LOC111588731,protein LSM14 homolog B,RNA binding
TAF4,,,nucleus
PTPRD,ptprdb,protein tyrosine phosphatase receptor type Db,
TBC1D2B,tbc1d2b,"TBC1 domain family, member 2B",
prdm8b,prdm8b,PR domain containing 8b,
FGF5,fgf5,fibroblast growth factor 5,signal transduction
nr6a1a,nr6a1a,"nuclear receptor subfamily 6, group A, member 1a",
dapk2b,dapk2b,death-associated protein kinase 2b,
mfsd12a,LOC111571187,major facilitator superfamily domain-containing protein 12-like,membrane
PSMB5,psmb5,proteasome 20S subunit beta 5,nucleus
PSMB11,,,nucleus
plp2,,,
TCF15,tcf15,transcription factor 15,
PLXND1,plxnd1,plexin D1,
TPPP3,LOC129349724,tubulin polymerization-promoting protein family member 3-like,
TPPP3,tppp3,tubulin polymerization-promoting protein family member 3,
ADAMTS18,adamts18,"ADAM metallopeptidase with thrombospondin type 1 motif, 18",
DAXX,daxx,death-domain associated protein,nucleus
zgc:91910,zgc:91910,Zinc finger protein 706-like,
bmp8a,bmp8a,bone morphogenetic protein 8a,
,LOC111562464,major histocompatibility complex class I-related gene protein-like,membrane
PRMT5,prmt5,protein arginine methyltransferase 5,
si:dkey-219e21.2,si:dkey-219e21.2,"nuclear factor 7, ovary",
,LOC111584644,platelet glycoprotein Ib alpha chain,
KIF1C,LOC111584642,kinesin-like protein KIF1C,
eif4e1c,,,cytoplasm
si:dkey-147f3.4,LOC111577399,F-box only protein 6-like,
CDC42,LOC111577400,cell division control protein 42 homolog,
SPDEF,LOC111572140,SAM pointed domain-containing Ets transcription factor,regulation of transcription by RNA polymerase II
ILRUN,LOC111572083,inflammation and lipid regulator with UBA-like and NBR1-like domains,DNA binding
sypb,,,membrane
CSRNP2,csrnp2,cysteine-serine-rich nuclear protein 2,nucleus
NR2C2,nr2c2,"nuclear receptor subfamily 2, group C, member 2",
UFM1,,,
MRPL46,mrpl46,mitochondrial ribosomal protein L46,mitochondrion
MRPS11,,,
PDPR,pdpr,pyruvate dehydrogenase phosphatase regulatory subunit,
KCNB2,kcnb2b,potassium voltage-gated channel subfamily B member 2b,
trpa1b,trpa1b,"transient receptor potential cation channel, subfamily A, member 1b",
,ap2m1b,adaptor related protein complex 2 subunit mu 1b,membrane
anxa13l,anxa13l,"annexin A13, like",calcium ion binding
LEPROT,LOC111587266,leptin receptor gene-related protein,
FABP6,fabp6,"fatty acid binding protein 6, ileal (gastrotropin)",bile acid binding
elovl8a,elovl8a,ELOVL fatty acid elongase 8a,membrane
selenop2,,,extracellular region
BEST4,best4,bestrophin 4,
sst1.1,sst1.1,"somatostatin 1, tandem duplicate 1",
sst1.2,sst1.2,"somatostatin 1, tandem duplicate 2",
COL4A1,col4a3,"collagen, type IV, alpha 3",
COL4A6,col4a4,"collagen, type IV, alpha 4",
ppp1r14ab,LOC111575541,protein phosphatase 1 regulatory subunit 14A,
si:ch211-106k21.5,si:ch211-106k21.5,leucine-rich repeat-containing protein 38,membrane
lhx8a,LOC111577533,LIM/homeobox protein Lhx8-like,
abi1b,LOC111588082,abl interactor 1-like,
fgf12b,LOC111562851,fibroblast growth factor 12-like,
stxbp1a,stxbp1a,syntaxin binding protein 1a,
,cysltr3,cysteinyl leukotriene receptor 3,
HTRA3,htra3b,HtrA serine peptidase 3b,extracellular region
,LOC111577211,fibronectin-like,
,tp53,tumor protein p53,
,zgc:113149,uncharacterized LOC111584134,
zgc:101731,zgc:101731,SNARE_SNAP25N and SNARE_SNAP23C domain-containing protein,
si:dkey-83h2.3,,,membrane
mmp23bb,mmp23bb,matrix metallopeptidase 23bb,
SERP1,,,
,LOC129349279,oocyte zinc finger protein XlCOF6-like,
CKS2,,,
napab,napab,"N-ethylmaleimide-sensitive factor attachment protein, alpha b",
MYEF2,myef2,myelin expression factor 2,
CTXN2,ctxn2,cortexin 2,
,LOC111571914,tumor necrosis factor receptor superfamily member 6B-like,extracellular region
SLC24A5,slc24a5,solute carrier family 24 member 5,membrane
,LOC111580949,transmembrane protein 106B-like,
KIF18A,kif18a,kinesin family member 18A,
THRB,thrb,thyroid hormone receptor beta,
PGM1,LOC111587026,phosphoglucomutase-1-like,
MBOAT4,,,
COQ2,,,membrane
si:ch211-207k7.4,hscb,HscB mitochondrial iron-sulfur cluster cochaperone,chaperone binding
lrrc8ab,lrrc8ab,leucine rich repeat containing 8 VRAC subunit Ab,
HSPB8,,,
SRRM4,srrm4,serine/arginine repetitive matrix 4,
WSB2,wsb2,WD repeat and SOCS box containing 2,
RFC5,,,ATP binding
METTL15,mettl15,"methyltransferase 15, mitochondrial 12S rRNA N4-cytidine",
fgf18b,,,
si:dkey-224e22.2,glb1l2,galactosidase beta 1 like 2,
b3gat1b,LOC111569167,beta-galactosidase-1-like protein 2,carbohydrate metabolic process
B3GAT1,LOC111569168,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1,
NPAT,npat,"nuclear protein, ataxia-telangiectasia locus",
gjd1a,LOC111566028,gap junction delta-2 protein,
SLC25A36,LOC111582348,solute carrier family 25 member 36-A,
VMP1,vmp1,vacuole membrane protein 1,membrane
ITGB6,itgb6,"integrin, beta 6",membrane
H3C15,h3f3d,"H3 histone, family 3D",
H3C15,LOC111570549,histone H3.3A,
H3C15,h3f3c,"H3 histone, family 3C",
H3C15,LOC111566036,histone H3.3A,
H3C15,LOC111566035,histone H3.3A,
b3gnt2l,b3gnt2l,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2, like",
MYL7,myl7,"myosin, light chain 7, regulatory",
NOP53,nop53,NOP53 ribosome biogenesis factor,nucleus
bckdha,bckdha,branched chain keto acid dehydrogenase E1 subunit alpha,oxidoreductase activity
EXOSC5,,,
TMEM91,tmem91,transmembrane protein 91,
KCTD14,kctd14,potassium channel tetramerization domain containing 14,
LGALS4,LOC111579613,galectin-6-like,carbohydrate binding
SIDT2,sidt2,"SID1 transmembrane family, member 2",
agpat9l,agpat9l,"1-acylglycerol-3-phosphate O-acyltransferase 9, like",
AXL,LOC111579609,tyrosine-protein kinase receptor UFO,
PDLIM4,pdlim4,PDZ and LIM domain 4,
TCERG1,tcerg1b,transcription elongation regulator 1b (CA150),
TTC39B,LOC111562751,tetratricopeptide repeat protein 39B,
RWDD1,rwdd1,RWD domain containing 1,
CNOT10,cnot10,"CCR4-NOT transcription complex, subunit 10",
CDK4,cdk4,cyclin-dependent kinase 4,nucleotide binding
AGAP2,LOC111587635,"arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1-like",metal ion binding
rereb,rereb,arginine-glutamic acid dipeptide (RE) repeats b,
igfbp6a,LOC111587645,insulin-like growth factor-binding protein 5,extracellular region
adora1a,LOC111587437,adenosine receptor A1-like,
PXYLP1,znf740a,zinc finger protein 740a,metal ion binding
HDHD3,hdhd3,haloacid dehalogenase-like hydrolase domain containing 3,
TRUB2,trub2,TruB pseudouridine (psi) synthase family member 2,
,rab44,"RAB44, member RAS oncogene family",GTP binding
srsf3a,srsf3a,serine and arginine rich splicing factor 3a,
TMEM183A,tmem183a,transmembrane protein 183A,
gpr61l,gpr61l,G protein-coupled receptor 61-like,
grm2a,grm2a,"glutamate receptor, metabotropic 2a",
PARP3,parp3,"poly (ADP-ribose) polymerase family, member 3",
ANGPTL3,LOC111587044,angiopoietin-related protein 3-like,
acbd5b,LOC111588108,acyl-CoA-binding domain-containing protein 5-like,membrane
trnau1apb,trnau1apb,tRNA selenocysteine 1 associated protein 1b,
cdh24b,LOC111584813,uncharacterized LOC111584813,membrane
rps8a,LOC111563465,40S ribosomal protein S8,structural constituent of ribosome
SLC6A17,LOC111574349,sodium-dependent neutral amino acid transporter SLC6A17-like,
NDUFA10,ndufa10,NADH:ubiquinone oxidoreductase subunit A10,
LRP8,LOC111587111,low-density lipoprotein receptor-related protein 8-like,
RBM15,LOC111574358,RNA-binding protein 15-like,
tatdn2,tatdn2,TatD DNase domain containing 2,"hydrolase activity, acting on ester bonds"
GHRL,ghrl,ghrelin/obestatin prepropeptide,
CCDC174,ccdc174,coiled-coil domain containing 174,
TGFA,tgfa,"transforming growth factor, alpha",
CYP27B1,LOC111587639,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",
,LOC111587984,interleukin-6 receptor subunit beta,membrane
HIRA,LOC111587983,protein HIRA,
IL1RAP,LOC111586849,interleukin-1 receptor accessory protein,membrane
CHP2,chp2,calcineurin-like EF-hand protein 2,
si:dkey-282h22.5,,,
DNAI1,rnf213b,ring finger protein 213b,metal ion binding
EIF2A,eif2a,eukaryotic translation initiation factor 2A,
CEP131,cep131,centrosomal protein 131,
INF2,,,
TMEM80,LOC111582151,transmembrane protein 80-like,membrane
EPS8L2,eps8l2,EPS8 signaling adaptor L2,
DLL4,LOC111583650,delta-like protein 4,membrane
fads2,fads2,fatty acid desaturase 2,
nt5c1ab,LOC111577961,cytosolic 5'-nucleotidase 1A-like,
PHF6,phf6,PHD finger protein 6,
zgc:103586,,,membrane
SMAD5,smad5,SMAD family member 5,
rida,,,
lgals8b,LOC111562640,galectin-8-like,carbohydrate binding
ZDHHC14,LOC111562638,palmitoyltransferase ZDHHC14-like,
FAM98B,fam98b,family with sequence similarity 98 member B,
PTPN21,ptpn21,protein tyrosine phosphatase non-receptor type 21,
SLC25A34,slc25a34,solute carrier family 25 member 34,
GNL3,gnl3,G protein nucleolar 3,nucleus
GLT8D1,glt8d1,glycosyltransferase 8 domain containing 1,
PCDH20,pcdh20,protocadherin 20,membrane
SPCS1,,,
plp1a,plp1a,proteolipid protein 1a,membrane
NEK4,nek4,NIMA-related kinase 4,nucleotide binding
RAB9B,rab9b,"RAB9B, member RAS oncogene family",
,LOC111587647,LIM domain and actin-binding protein 1-like,
CFAP100,cfap100,cilia and flagella associated protein 100,
PDGFRL,LOC111577701,platelet-derived growth factor receptor-like protein,membrane
FBXO42,fbxo42,F-box protein 42,
LONRF3,LOC111565188,LON peptidase N-terminal domain and RING finger protein 3-like,
filip1a,LOC111569644,filamin-A-interacting protein 1-like,
TDRD9,tdrd9,tudor domain containing 9,
COMMD5,commd5,COMM domain containing 5,
FAM199X,fam199x,"family with sequence similarity 199, X-linked",
SMIM19,,,
GPC3,gpc3,glypican 3,
MMGT1,,,membrane
AR,LOC111568069,progesterone receptor-like,
RD3L,rd3l,RD3 like,
myo10l1,,,
GRIA3,gria3b,"glutamate receptor, ionotropic, AMPA 3b",
DGKG,LOC111578199,diacylglycerol kinase beta,
zgc:110045,zgc:110045,uncharacterized LOC111573090,nucleic acid binding
RRP12,rrp12,ribosomal RNA processing 12 homolog,
,st6galnac,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase",
COX11,LOC111568439,"cytochrome c oxidase assembly protein COX11, mitochondrial",membrane
ZNF224,LOC111578125,gastrula zinc finger protein XlCGF26.1-like,
